"SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut"
0.00274749620637329,0.00925256813353566,0.00488454871016692
0,0,0.006018
0.095492,0.132819,0.096435
0.0403794621710526,0.0421975016447368,0.0396100712719298
0.018118,0,0
0,0,0
0,0,0.004916
0.008367,0,0.025195
0,0,0.00753359538239538
0.0254800523560209,0.0230779581151832,0.071946780104712
0,0.012821,0.009358
0.011891,0,0.01837
0.019737,0.090758,0.059956
0,0.008842,0
0.25756521562123,0.284195797647768,0.252741752110977
0,0.00486,0.005321
0.010049,0,0
0.00213,0,0
0,0.013007,0.040429
0.146684,0.050925,0.080998
0,0,0
0.00687226269259914,0.0101593473099267,0
0,0.012221,0.022199
0.00329762204724409,0.00153770078740157,0.00278667716535433
0.008112,0,0.006005
