"gene.name","SRR5687512.SUM44_Y537S_mut","SRR5687513.SUM44_Y537S_mut","SRR5687514.SUM44_Y537S_mut","SRR5687509.SUM44_normal","SRR5687510.SUM44_normal","SRR5687511.SUM44_normal","SUM44_Y537S_mut.average","SUM44_normal.average","SUM44_Y537S_mut.SUM44_normal.average","fc","log2FC","pval","qval"
".",0.69247,0.455804,0.484976,1.569969,1.912625,2.115483,0.544416666666667,1.86602566666667,1.20522116666667,2.0426104167858,1.03041406781706,0.00918317245142009,0.116810366545193
".",30.387777,22.440573,21.931587,10.62028,9.358121,10.814827,24.919979,10.2644093333333,17.5921941666667,0.482457059293844,-1.05152755271527,0.0325200885088855,0.188722257277413
".",30.308636,22.41819,21.947454,10.62028,9.358121,10.814827,24.8914266666667,10.2644093333333,17.577918,0.483058906301912,-1.04972896659694,0.0319653162605278,0.18726581447777
".",1.52750220363636,1.37555840818182,1.47940494954545,4.42069262909091,5.22574696090909,4.74618173954545,1.46082185378788,4.79754044318182,3.12918114848485,2.45717338899116,1.29699966421686,0.00132706640211766,0.0754834143597133
".",1.85257,1.97647699813433,1.701719,6.26910081529851,6.45664211753731,6.75749214365672,1.84358866604478,6.49441169216418,4.16900017910448,2.51836328791375,1.33248641485463,0.000432845503109847,0.0552360201870073
".",28.250465,34.418442,33.69648,16.943586,17.359703,14.697675,32.1217956666667,16.3336546666667,24.2277251666667,0.470431555876592,-1.08794325754526,0.00875022663442393,0.116810366545193
".",2.423652,3.179621,2.683874,1.23956,0.838223,0.903624,2.76238233333333,0.993802333333333,1.87809233333333,0.456028215299207,-1.13280500555669,0.00627514046073085,0.111948480494178
".",1.044337,2.747248,0.881332,0.77641,0,0,1.557639,0.258803333333333,0.908221166666667,0.265285291874368,-1.91438340397257,0.0194620854681173,0.146004173924539
".",3.04931848684211,3.4532560861244,2.86524080382775,0.456875483253589,0.407400114832536,0.451408523923445,3.12260512559809,0.43856137400319,1.78058324980064,0.317132095653412,-1.65684420074173,8.2880615078218e-05,0.0455659375899815
".",22.6471254499165,26.5721511811352,26.4324895058431,10.2323942487479,9.60818412437396,8.57061407512521,25.2172553789649,9.47039748274903,17.343826430857,0.365815864685385,-1.45081045171264,0.00291182604059115,0.0906641764269524
".",10.16919,9.681799,11.11637,18.773066,22.723694,19.785276,10.322453,20.4273453333333,15.3748991666667,2.03162348203247,1.02263305420813,0.00784353177236585,0.116810366545193
".",1.404474,1.180649,0.977279,0,0,0,1.18746733333333,0,0.593733666666667,0.450666119862137,-1.14986909955815,0.00478116133582784,0.10265200754921
