"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0,0.00502676508055451,0,0.00310197527163732,0,0,0.00177493593106032,0,0,0
0.093168,0.117165,0,0.036938,0.068645,0.023343,0,0.069051,0.042307,0.018974
0,0.014754,0.007527,0,0,0,0,0,0,0
0,0,0,0.016492,0,0,0,0,0,0
0,0,0,0,0.024469,0,0,0,0,0
0,0,0,0,0,0,0,0.00610044371405094,0,0
0.0196479581771553,0.00611049516669955,0,0.0167800700335372,0.00186665515880844,0.00586563917932531,0.00747653383310318,0,0.00344483625961728,0.00398213158413888
0,0,0,0,0,0,0,0.01177,0,0
0.022636,0.032722,0.011875,0.027522,0,0,0,0.032939,0.038626,0.037958
0,0,0,0,0,0,0,0,0,0
0.227408074553062,0.241813912514264,0.138120066184861,0.11537049790795,0.264513963103842,0.0742146338912134,0.125385450171168,0.190143158044884,0.213335528718144,0.0724462810954736
0,0,0,0,0.003591,0,0,0,0,0
0.087315,0.174668,0.144374,0.198758,0.21608,0.225359,0.287577,0.200163,0.238259,0.57455
0.133032,0.129511,0,0.040862,0.091221,0.076368,0.045317,0.110844,0.137172,0.076384
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.004066
0,0,0,0,0,0,0,0,0,0
0,0,0,0.015103,0.014885,0.0067,0.004422,0,0.036125,0.015303
0.0119108173913043,0,0,0,0,0,0,0,0,0
0,0.006896,0,0.011838,0,0.00673,0,0,0.006402,0.013774
0,0,0,0,0.007376,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.095137,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00885518490566038,0,0,0,0
0,0,0,0,0,0,0,0,0.034747,0
0.00614514511041009,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00594737464342314,0
0,0,0,0,0,0,0,0,0.0127255,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.027944,0
0,0,0,0,0,0,0,0.01051,0,0
0,0,0.046927,0,0,0,0,0,0,0
0,0,0,0,0,0.00201354918463966,0,0.000339460021041557,0,0
0,0,0,0,0,0,0,0,0,0
0.00703849377593361,0,0.00716685536455246,0,0.0177138992294013,0.0100102590397155,0.0342307294013041,0.0459515038529935,0,0.0118899783639597
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.028915,0,0,0,0.033691,0.015676,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.013204,0,0
0,0,0,0,0.018411,0,0,0,0,0
