"t_id","g_id"
670,"MSTRG.161"
671,"MSTRG.158"
672,"MSTRG.158"
673,"MSTRG.158"
674,"MSTRG.158"
675,"MSTRG.158"
676,"MSTRG.158"
677,"MSTRG.158"
678,"MSTRG.158"
679,"MSTRG.163"
680,"MSTRG.164"
681,"MSTRG.168"
682,"MSTRG.168"
683,"MSTRG.168"
684,"MSTRG.168"
685,"MSTRG.168"
686,"MSTRG.168"
687,"MSTRG.168"
688,"MSTRG.168"
689,"MSTRG.168"
690,"MSTRG.168"
691,"MSTRG.168"
692,"MSTRG.168"
693,"MSTRG.168"
694,"MSTRG.168"
695,"MSTRG.168"
696,"MSTRG.168"
697,"MSTRG.168"
698,"MSTRG.168"
699,"MSTRG.169"
700,"MSTRG.169"
701,"MSTRG.169"
702,"MSTRG.169"
703,"MSTRG.169"
704,"MSTRG.169"
705,"MSTRG.169"
706,"MSTRG.169"
707,"MSTRG.169"
708,"MSTRG.168"
709,"MSTRG.168"
710,"MSTRG.168"
711,"MSTRG.168"
712,"MSTRG.168"
713,"MSTRG.168"
714,"MSTRG.168"
715,"MSTRG.170"
716,"MSTRG.170"
717,"MSTRG.165"
718,"MSTRG.165"
719,"MSTRG.165"
720,"MSTRG.165"
721,"MSTRG.166"
722,"MSTRG.166"
723,"MSTRG.167"
724,"MSTRG.171"
725,"MSTRG.171"
726,"MSTRG.171"
727,"MSTRG.172"
728,"MSTRG.173"
729,"MSTRG.173"
730,"MSTRG.173"
731,"MSTRG.172"
732,"MSTRG.172"
733,"MSTRG.174"
734,"MSTRG.175"
735,"MSTRG.176"
736,"MSTRG.177"
737,"MSTRG.177"
738,"MSTRG.199"
739,"MSTRG.199"
740,"MSTRG.199"
741,"MSTRG.199"
742,"MSTRG.200"
743,"MSTRG.200"
744,"MSTRG.201"
745,"MSTRG.202"
746,"MSTRG.203"
747,"MSTRG.202"
748,"MSTRG.202"
749,"MSTRG.202"
750,"MSTRG.202"
751,"MSTRG.202"
752,"MSTRG.204"
753,"MSTRG.202"
754,"MSTRG.202"
755,"MSTRG.202"
756,"MSTRG.202"
757,"MSTRG.205"
758,"MSTRG.205"
759,"MSTRG.206"
760,"MSTRG.207"
761,"MSTRG.208"
762,"MSTRG.209"
763,"MSTRG.209"
764,"MSTRG.210"
765,"MSTRG.196"
766,"MSTRG.197"
767,"MSTRG.197"
768,"MSTRG.198"
769,"MSTRG.198"
770,"MSTRG.198"
771,"LOC102724539"
772,"SLC45A1"
773,"MSTRG.222"
774,"MSTRG.222"
775,"MSTRG.222"
776,"MSTRG.222"
777,"MSTRG.222"
778,"MSTRG.222"
779,"MSTRG.222"
780,"MSTRG.222"
781,"MSTRG.222"
782,"MSTRG.222"
783,"MSTRG.222"
784,"MSTRG.222"
785,"MSTRG.222"
786,"MSTRG.222"
787,"MSTRG.222"
788,"MSTRG.223"
789,"MSTRG.224"
790,"MSTRG.224"
791,"MSTRG.225"
792,"MSTRG.226"
793,"MSTRG.213"
794,"MSTRG.214"
795,"MSTRG.215"
796,"MSTRG.211"
797,"MSTRG.211"
798,"MSTRG.211"
799,"MSTRG.211"
800,"MSTRG.212"
801,"SLC2A7"
802,"SLC2A5"
803,"SLC2A5"
804,"MSTRG.217"
805,"MSTRG.218"
806,"MSTRG.219"
807,"MSTRG.221"
808,"MSTRG.220"
809,"MSTRG.220"
810,"MSTRG.216"
811,"H6PD"
812,"H6PD"
813,"MSTRG.227"
814,"MSTRG.228"
815,"MSTRG.228"
816,"MSTRG.228"
817,"MSTRG.228"
818,"MSTRG.228"
819,"MSTRG.229"
820,"MSTRG.229"
821,"MSTRG.230"
822,"MSTRG.230"
823,"SLC25A33"
824,"MSTRG.231"
825,"MSTRG.231"
826,"MSTRG.231"
827,"MSTRG.231"
828,"MSTRG.247"
829,"MSTRG.248"
830,"MSTRG.249"
831,"MSTRG.250"
832,"MSTRG.250"
833,"MSTRG.250"
834,"MSTRG.251"
835,"MSTRG.251"
836,"MSTRG.252"
837,"MSTRG.252"
838,"MSTRG.252"
839,"MSTRG.252"
840,"MSTRG.253"
841,"MSTRG.254"
842,"MSTRG.253"
843,"MSTRG.253"
844,"MSTRG.253"
845,"MSTRG.253"
846,"MSTRG.253"
847,"MSTRG.255"
848,"MSTRG.256"
849,"MSTRG.256"
850,"MSTRG.256"
851,"MSTRG.257"
852,"MSTRG.258"
853,"MSTRG.258"
854,"MSTRG.258"
855,"MSTRG.258"
856,"MSTRG.259"
857,"MSTRG.260"
858,"MSTRG.260"
859,"MSTRG.260"
860,"MSTRG.261"
861,"MSTRG.261"
862,"MSTRG.260"
863,"MSTRG.262"
864,"MSTRG.261"
865,"MSTRG.263"
866,"MSTRG.263"
867,"MSTRG.264"
868,"MSTRG.263"
869,"MSTRG.263"
870,"MSTRG.265"
871,"MSTRG.266"
872,"MSTRG.266"
873,"MSTRG.266"
874,"MSTRG.263"
875,"MSTRG.263"
876,"MSTRG.263"
877,"MSTRG.263"
878,"MSTRG.263"
879,"MSTRG.263"
880,"MSTRG.263"
881,"MSTRG.263"
882,"MSTRG.267"
883,"MSTRG.267"
884,"MSTRG.268"
885,"MSTRG.268"
886,"MSTRG.269"
887,"MSTRG.270"
888,"MSTRG.271"
889,"MSTRG.271"
890,"MSTRG.270"
891,"MSTRG.270"
892,"MSTRG.272"
893,"MSTRG.273"
894,"MSTRG.273"
895,"MSTRG.274"
896,"MSTRG.274"
897,"MSTRG.276"
898,"MSTRG.275"
899,"MSTRG.275"
900,"C1orf127"
901,"TARDBP"
902,"MASP2"
903,"MASP2"
904,"SRM"
905,"MSTRG.232"
906,"MSTRG.232"
907,"MSTRG.233"
908,"MSTRG.232"
909,"MSTRG.234"
910,"MSTRG.234"
911,"MSTRG.234"
912,"MSTRG.242"
913,"MSTRG.242"
914,"MSTRG.242"
915,"MSTRG.243"
916,"MSTRG.242"
917,"MSTRG.242"
918,"MSTRG.244"
919,"MSTRG.245"
920,"MSTRG.246"
921,"MSTRG.235"
922,"PTCHD2"
923,"LOC101929181"
924,"FBXO2"
925,"FBXO44"
926,"FBXO44"
927,"FBXO44"
928,"FBXO44"
929,"FBXO44"
930,"FBXO44"
931,"FBXO44"
932,"FBXO6"
933,"MAD2L2"
934,"MAD2L2"
935,"MSTRG.236"
936,"MSTRG.237"
937,"MSTRG.238"
938,"MSTRG.238"
939,"MSTRG.238"
940,"MSTRG.239"
941,"MSTRG.240"
942,"MSTRG.239"
943,"MSTRG.239"
944,"MSTRG.241"
945,"MSTRG.241"
946,"MSTRG.241"
947,"MSTRG.241"
948,"MSTRG.241"
949,"MSTRG.277"
950,"MSTRG.278"
951,"MSTRG.279"
952,"MSTRG.280"
953,"MSTRG.280"
954,"MSTRG.280"
955,"MSTRG.280"
956,"MSTRG.280"
957,"MSTRG.280"
958,"MSTRG.280"
959,"MSTRG.281"
960,"MSTRG.281"
961,"MSTRG.281"
962,"MSTRG.282"
963,"MSTRG.283"
964,"MSTRG.283"
965,"RNU5E-1"
966,"KIAA2013"
967,"PLOD1"
968,"MSTRG.284"
969,"MSTRG.285"
970,"MSTRG.285"
971,"MSTRG.285"
972,"MSTRG.285"
973,"MSTRG.285"
974,"MSTRG.285"
975,"MSTRG.285"
976,"MSTRG.285"
977,"MSTRG.285"
978,"MSTRG.286"
979,"MSTRG.287"
980,"MSTRG.288"
981,"MSTRG.288"
982,"MSTRG.289"
983,"MSTRG.289"
984,"MSTRG.290"
985,"MSTRG.290"
986,"MSTRG.291"
987,"MIR7846"
988,"TNFRSF1B"
989,"MIR4632"
990,"MSTRG.303"
991,"MSTRG.303"
992,"MSTRG.303"
993,"MSTRG.303"
994,"MSTRG.303"
995,"MSTRG.304"
996,"MSTRG.305"
997,"MSTRG.306"
998,"MSTRG.292"
999,"MSTRG.292"
1000,"MSTRG.293"
1001,"MSTRG.294"
1002,"AADACL3"
1003,"AADACL3"
1004,"C1orf158"
1005,"PRAMEF12"
1006,"PRAMEF1"
1007,"PRAMEF1"
1008,"PRAMEF11"
1009,"HNRNPCL1"
1010,"PRAMEF2"
1011,"PRAMEF4"
1012,"PRAMEF10"
1013,"PRAMEF7"
1014,"PRAMEF6"
1015,"LOC101929983"
1016,"HNRNPCL3"
1017,"HNRNPCL4"
1018,"PRAMEF26"
1019,"PRAMEF25"
1020,"LOC645354"
1021,"LOC649324"
1022,"HNRNPCL2"
1023,"LOC645354"
1024,"LOC649324"
1025,"PRAMEF25"
1026,"PRAMEF26"
1027,"HNRNPCL4"
1028,"HNRNPCL3"
1029,"PRAMEF9"
1030,"LOC101929983"
1031,"LOC400736"
1032,"LOC391003"
1033,"PRAMEF22"
1034,"PRAMEF5"
1035,"PRAMEF8"
1036,"LOC645382"
1037,"PRAMEF15"
